"Time","Station","Species","Depth","OM_Percent","C_Percent","Bulk_Density","C_Density","SOC"
2015,1,"R",-1,13.43,8.46,0.61,0.05,519.9
2015,1,"R",-2,8.05,6.23,0.76,0.05,476.61
2015,1,"R",-3,7.71,6.09,0.85,0.05,515.33
2015,1,"B",-1,16.16,9.6,0.61,0.06,589.22
2015,1,"B",-2,17.34,10.08,0.58,0.06,584.99
2015,1,"B",-3,13.58,8.52,0.67,0.06,573.91
2015,1,"C",-1,13.82,8.62,0.77,0.07,662.54
2015,1,"C",-2,7.8,6.13,0.99,0.06,608.66
2015,1,"C",-3,14.57,8.94,0.73,0.07,651.56
2021,1,"R",-1,22.87,12.38,0.8,0.1,992.6
2021,1,"R",-2,19.93,11.16,0.86,0.1,960.67
2021,1,"R",-3,24.92,13.23,0.9,0.12,1190.09
2021,1,"B",-1,23.53,12.65,0.7,0.09,883.54
2021,1,"B",-2,25.19,13.34,0.65,0.09,872.8
2021,1,"B",-3,26.21,13.77,0.79,0.11,1084.55
2021,1,"C",-1,25.58,13.51,0.75,0.1,1006.69
2021,1,"C",-2,21.56,11.84,0.8,0.1,952.11
2021,1,"C",-3,20.89,11.56,0.78,0.09,900.87
2015,2,"R",-1,12.9,8.24,0.75,0.06,618.22
2015,2,"R",-2,17.47,10.14,0.66,0.07,670.16
2015,2,"R",-3,19.45,10.96,0.57,0.06,619.92
2015,2,"B",-1,14.14,8.76,0.74,0.06,646.82
2015,2,"B",-2,15.45,9.3,0.67,0.06,620.2
2015,2,"B",-3,14.25,8.8,0.64,0.06,559.33
2015,2,"C",-1,16.86,9.89,0.74,0.07,729.41
2015,2,"C",-2,16,9.53,0.62,0.06,586.57
2015,2,"C",-3,18.56,10.59,0.59,0.06,628.23
2021,2,"R",-1,31.29,15.87,0.89,0.14,1416.36
2021,2,"R",-2,32.35,16.32,0.73,0.12,1197.52
2021,2,"R",-3,46.66,22.25,0.72,0.16,1608.99
2021,2,"B",-1,40.87,19.85,0.64,0.13,1279.63
2021,2,"B",-2,40.64,19.76,0.63,0.12,1249.86
2021,2,"B",-3,38.82,19,0.57,0.11,1083.88
2021,2,"C",-1,31.46,15.95,0.79,0.13,1255.67
2021,2,"C",-2,19.7,11.06,1,0.11,1110.23
2021,2,"C",-3,33.05,16.61,0.57,0.1,953.72
2015,3,"R",-1,7.13,5.85,0.96,0.06,563.2
2015,3,"R",-2,7.7,6.09,1.03,0.06,627.66
2015,3,"R",-3,7.57,6.03,1.17,0.07,705.07
2015,3,"B",-1,7.61,6.05,0.92,0.06,557.45
2015,3,"B",-2,9.22,6.72,1.31,0.09,878.77
2015,3,"B",-3,13.65,8.55,1.14,0.1,971.73
2015,3,"C",-1,17.97,10.35,0.8,0.08,832.18
2015,3,"C",-2,3.48,4.33,1.23,0.05,534.14
2015,3,"C",-3,7.5,6,1.1,0.07,660.34
2021,3,"R",-1,41.74,20.21,0.58,0.12,1167.81
2021,3,"R",-2,26.28,13.8,0.57,0.08,791.28
2021,3,"R",-3,31.32,15.89,0.64,0.1,1016.09
2021,3,"B",-1,14.3,8.82,0.64,0.06,567.31
2021,3,"B",-2,14.08,8.74,0.65,0.06,566.9
2021,3,"B",-3,27.81,14.43,0.47,0.07,684.67
2021,3,"C",-1,40,19.49,0.63,0.12,1235.33
2021,3,"C",-2,36.15,17.89,0.61,0.11,1089.48
2021,3,"C",-3,44.18,21.22,0.56,0.12,1195.81
2015,4,"R",-1,22.29,12.14,0.53,0.06,649.44
2015,4,"R",-2,21.19,11.68,0.54,0.06,634.68
2015,4,"R",-3,25.12,13.32,0.48,0.06,634.83
2015,4,"B",-1,26.49,13.88,0.58,0.08,801.14
2015,4,"B",-2,28.7,14.8,0.42,0.06,624.51
2015,4,"B",-3,24.04,12.87,0.47,0.06,607.7
2015,4,"C",-1,25.53,13.49,0.65,0.09,871.34
2015,4,"C",-2,25.01,13.27,0.47,0.06,626.57
2015,4,"C",-3,34.09,17.04,0.41,0.07,697.32
2021,4,"R",-1,14.5,8.91,0.69,0.06,618.47
2021,4,"R",-2,21.94,12,0.5,0.06,601
2021,4,"R",-3,23.92,12.82,0.59,0.08,750.7
2021,4,"B",-1,27.09,14.13,0.47,0.07,664.34
2021,4,"B",-2,21.33,11.74,0.54,0.06,635.45
2021,4,"B",-3,27.7,14.38,0.53,0.08,757.14
2021,4,"C",-1,40.74,19.8,0.65,0.13,1292.91
2021,4,"C",-2,24.46,13.04,0.56,0.07,729.45
2021,4,"C",-3,29.66,15.2,0.54,0.08,822.23
2015,5,"R",-1,19.84,11.12,0.66,0.07,729.49
2015,5,"R",-2,22.35,12.16,0.61,0.07,747.11
2015,5,"R",-3,24.7,13.14,0.48,0.06,637.06
2015,5,"B",-1,17.44,10.13,0.66,0.07,668.18
2015,5,"B",-2,36.27,17.94,0.34,0.06,616.25
2015,5,"B",-3,28.06,14.54,0.42,0.06,616.61
2015,5,"C",-1,20.1,11.23,0.66,0.07,746.32
2015,5,"C",-2,37.29,18.37,0.36,0.07,655.81
2015,5,"C",-3,27.9,14.47,0.48,0.07,697.94
2021,5,"R",-1,50.72,23.94,1.11,0.27,2658.68
2021,5,"R",-2,36.84,18.18,0.9,0.16,1644.84
2021,5,"R",-3,57.43,26.72,0.81,0.22,2177.17
2021,5,"B",-1,63.7,29.33,0.99,0.29,2897.52
2021,5,"B",-2,55.61,25.97,0.97,0.25,2507.56
2021,5,"B",-3,51.54,24.28,0.92,0.22,2239.41
2021,5,"C",-1,45.68,21.85,1.07,0.23,2329.39
2021,5,"C",-2,38.63,18.92,1.08,0.2,2034.59
2021,5,"C",-3,48.79,23.14,1.13,0.26,2611.81
2015,6,"R",-1,26.03,13.69,0.64,0.09,877.65
2015,6,"R",-2,21.73,11.91,0.65,0.08,768.09
2015,6,"R",-3,14.8,9.03,0.81,0.07,735.02
2015,6,"B",-1,22.26,12.13,0.64,0.08,772.45
2015,6,"B",-2,14.9,9.07,0.73,0.07,660.62
2015,6,"B",-3,21.12,11.65,0.58,0.07,678.35
2015,6,"C",-1,22.41,12.19,0.71,0.09,860.43
2015,6,"C",-2,21.17,11.68,0.63,0.07,731.36
2015,6,"C",-3,20.71,11.48,0.52,0.06,597.51
2021,6,"R",-1,41.15,19.97,0.88,0.17,1748.86
2021,6,"R",-2,48.9,23.18,0.79,0.18,1828.35
2021,6,"R",-3,52.62,24.73,0.9,0.22,2227.29
2021,6,"B",-1,50.59,23.89,0.82,0.2,1963.57
2021,6,"B",-2,52.83,24.82,0.86,0.21,2140.47
2021,6,"B",-3,50.28,23.76,0.79,0.19,1888
2021,6,"C",-1,46.02,21.99,0.92,0.2,2015.44
2021,6,"C",-2,55.53,25.93,0.8,0.21,2078.06
2021,6,"C",-3,45.73,21.87,0.84,0.18,1826.05
